hashtags,frequency
care2,24
FedEx,10
bikenyc,8
loadinglosers,8
fedex,6
CustomerService,6
poorservice,5
fedexsucks,5
fail,4
Shark,4
fedextinction,4
onlinebiz,4
bikeNYC,3
bikelane,3
GoPro,3
new,3
OnlineMarketing,3
savings,3
account,3
proper,3
notification,3
attention,3
Refund,3
mortgage,3
repayment,3
Credit,3
mailing,3
overnight,3
delay,3
documents,3
FedExSucks,2
wtf,2
thankyou,2
BikeNYC,2
BikeTO,2
shipment,2
confidential,2
chose,2
important,2
delivered,2
nextday,2
SaturdaySelections,2
fedexfail,2
ihateFedEx,1
isnoservice,1
pray4me,1
UPSwouldnever,1
WednesdayWisdom,1
WednesdayMiddleWeekAction,1
deliveryfail,1
StellaConnect,1
Worst,1
Slowest,1
getittogether,1
misdelivered,1
wrongaddress,1
biblical,1
DoYourJob,1
stoplosingmypackage,1
SugarHouse,1
sadness,1
sos,1
Derp,1
surprisepresent,1
soinconvenient,1
TuesdayThoughts,1
iamup,1
needanewdriver,1
betternotbebroken,1
thisisntthefirsttime,1
TooBig4U,1
shopping,1
Friday,1
thanksAbunch,1
trash,1
lazy,1
FedExCup,1
airandground,1
OneTeam,1
toptips,1
lovethelorry,1
teamfedex,1
TogetherStronger,1
RunwayRun,1
out200bucks,1
nohelp,1
NY_46521MC,1
loadinlosers,1
FridayFeeling,1
tcblockedlanes,1
Chicago,1
GoogleMaps,1
scam,1
contradiction,1
cantrefusedeliverynow,1
ridiculous,1
pathetic,1
coppercure,1
NoHelpAtAll,1
DontUseFedEx,1
tfw,1
BlackHole,1
MissingInAction,1
Louisville,1
thanksfornothing,1
neverfedex,1
nraterrorists,1
NRABloodMoney,1
Nragenocide,1
Nrakills,1
boycottnra,1
WORSTCOMPANIESEVER,1
comeonman,1
failure,1
GOPRO,1
NickWoodman,1
NeverAgain,1
HELP,1
badcustomerservice,1
garbage,1
RunEverythingLabs,1
ups,1
usps,1
amazon,1
patience,1
TourOnly,1
Timeless,1
check,1
normal,1
business,1
Banking,1
timesensitive,1
kinkos,1
adidasoriginals,1
NoNRA,1
EnoughIsEnough,1
dobetter,1
whathappenedtocustomerservice,1
freeshipping,1
poorcustomerservice,1
iPhoneXsMAX,1
frustrating,1
chocolatesnomillones,1
prioridades,1
LostInTranslation,1
fedup,1
UPS,1
hurricaneflorence,1
HurricaneFlorence,1
