,Unnamed: 0,tweet_id,user_id,user_name,text,time,retweets,favorited,place,geo
0,0,968297557150531584,39789111,natehyde,"RT @FedEx: FedEx responds to questions on the National Rifle Association, gun safety and policy https://t.co/qYgmbyQ5jk https://t.co/02q1hD…",Tue Feb 27 01:31:42 +0000 2018,3217,0,,
5,5,1025156715870908417,39789111,natehyde,RT @FedEx: Now you can say we’re even more attached! We’re proud to be the official jersey sponsor of the @memgrizz this season. https://t.…,Thu Aug 02 23:09:42 +0000 2018,587,0,,
0,0,1024417892480237569,465094933,WesHauch,Hey @FedEx do you guys know any good luthiers in Atlanta who can fix what your guys did? https://t.co/nsZx8t5vfJ,Tue Jul 31 22:13:52 +0000 2018,111,496,,
1,1,1039977671659270144,134887156,FedEx,RT @FedExEurope: Thrilled to announce we are renewing our UEFA @EuropaLeague sponsorship for another 3 years. Bring on all those great nigh…,Wed Sep 12 20:42:53 +0000 2018,45,0,,
3,3,987505442359271424,39789111,natehyde,RT @CrossFit: When @FedEx is your job but CrossFit is life. https://t.co/8OEcUx5vTl,Sat Apr 21 01:36:59 +0000 2018,43,0,,
0,0,1044311164010856450,799887478920544256,__j0sh1__,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Mon Sep 24 19:42:38 +0000 2018,32,0,,
0,0,1044309325987147777,381244615,mike21756,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Mon Sep 24 19:35:20 +0000 2018,32,0,,
0,0,1044310976013590529,543667559,puckmehard93,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Mon Sep 24 19:41:53 +0000 2018,32,0,,
0,0,1044327490322190336,861930040367267840,NightmareFront,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Mon Sep 24 20:47:31 +0000 2018,32,0,,
0,0,1044316250221039616,912384440193765376,DerW0815,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Mon Sep 24 20:02:51 +0000 2018,32,0,,
0,0,1044377014503964672,37316655,wyntercobweb,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Tue Sep 25 00:04:18 +0000 2018,32,0,,
0,0,1044309637657440257,3092863649,robygates95,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Mon Sep 24 19:36:34 +0000 2018,32,0,,
1,1,1044314910023331840,112388997,NateMBeltran,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Mon Sep 24 19:57:31 +0000 2018,32,0,,
0,0,1044560003397570562,751180594135109632,migasUn13,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Tue Sep 25 12:11:26 +0000 2018,32,0,,
0,0,1044310947484106752,85785822,Patentif,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Mon Sep 24 19:41:46 +0000 2018,32,0,,
0,0,1044345422502752256,240787623,AShazlan,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Mon Sep 24 21:58:46 +0000 2018,32,0,,
0,0,1044309581017550850,239465333,SilenceEngaged,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Mon Sep 24 19:36:21 +0000 2018,32,0,,
0,0,1044317566720790528,1475794627,SineblackOlmos,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Mon Sep 24 20:08:05 +0000 2018,32,0,,
0,0,1044367876876976128,1039186987247271937,SORITAIRE,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Mon Sep 24 23:27:59 +0000 2018,32,0,,
0,0,1044310719716483072,48058561,playboibayboi,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Mon Sep 24 19:40:52 +0000 2018,32,0,,
0,0,1044318609986777089,548638705,JiyuNaTori,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Mon Sep 24 20:12:13 +0000 2018,32,0,,
0,0,1044442790514483200,165576646,dpokan,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Tue Sep 25 04:25:40 +0000 2018,32,0,,
0,0,1044577930536517632,3663846794,daniorozco_25,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Tue Sep 25 13:22:40 +0000 2018,32,0,,
0,0,1044314256810946560,375424758,VerticlAtrocity,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Mon Sep 24 19:54:55 +0000 2018,32,0,,
0,0,1044343981750927360,1190274014,heavymetalpomp,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Mon Sep 24 21:53:02 +0000 2018,32,0,,
0,0,1044309636428574720,2581914488,ScenesFromLuis,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Mon Sep 24 19:36:34 +0000 2018,32,0,,
4,4,1011980886806548480,39789111,natehyde,RT @FedExNews: .@FedEx named one of the 2018 Best Workplaces for Millennials by Fortune Magazine. Learn more: https://t.co/uPKBtrtkB5 https…,Wed Jun 27 14:33:39 +0000 2018,32,0,,
0,0,1044676908171120640,1444700376,418_lissa,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Tue Sep 25 19:55:58 +0000 2018,32,0,,
0,0,1044336151027486721,338531502,DiebytheSword66,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Mon Sep 24 21:21:55 +0000 2018,32,0,,
0,0,1044323439408951296,862004587,SteveoR6,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Mon Sep 24 20:31:25 +0000 2018,32,0,,
0,0,1044375069462605824,737946840,Nstalker91894,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Mon Sep 24 23:56:34 +0000 2018,32,0,,
0,0,1044374153917169664,998558480108679168,kazart1222,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Mon Sep 24 23:52:56 +0000 2018,32,0,,
