hashtag,frequency
UPS,26
ups,14
iPhoneXS,14
Apple,7
iPhoneXSMax,6
apple,5
iPhone,4
NYC,4
fail,4
iphonexs,3
FAIL,3
CustomerService,3
disappointed,3
delivery,3
iphone,3
iphonereleasedayfail,3
UPSfail,3
amazon,3
upsdelay,2
UPSDELAY,2
SafetyFirst,2
iphoneXS,2
dobetter,2
MakeItRight,2
doyourjob,2
badservice,2
boycottups,2
BadService,2
upssucks,2
Amazon,2
bikeNYC,2
loadinglosers,2
ShitShow,1
dumbbastards,1
upsfail,1
REFUND,1
UPSSUCKS,1
shipfedex,1
inept,1
indifferent,1
WhatCanBrownDoForMe,1
TightestShipInTheShippingBusiness,1
overload,1
pissedoff,1
ImportImageRacing,1
NationalPancakeDay,1
RetweeetPlease,1
FridayThe13th,1
silly,1
1ZE853A80126854770,1
no,1
lostpackage,1
nofollowup,1
thanksfornothing,1
usps,1
fedex,1
lost,1
parcel,1
IRRITATEDCUSTOMER,1
photobombed,1
neveragainups,1
fedexfromnowon,1
logisticsfail,1
thanks,1
iphonexsmax,1
badforbusiness,1
yallplaytoomuch,1
sopissed,1
upsdelivery,1
unitedparcelservice,1
NewYorkers,1
publicsafety,1
safety,1
NotCool,1
Simple,1
Help,1
annoyingpersonproblems,1
whereismypackage,1
wedeliver,1
deliveryfail,1
theydiditagain,1
annoyed,1
lazy,1
ridiculous,1
tiredofit,1
Toronto,1
pissed,1
furious,1
wastemytime,1
OnAMission,1
ShutDownUPS,1
watch,1
WTF,1
ringthedamnbell,1
thatswhyitsthere,1
HAPPENSALLTHETIME,1
deplorable,1
poorservice,1
cantmakethisup,1
liars,1
untrustworthy,1
manipulative,1
upssux,1
NeverAgain,1
UPShatesme,1
UPSscrewedme,1
justfindmypackage,1
overit,1
FlorenceHurricane2018,1
pricegouged,1
Mustdobetter,1
Louisville,1
HongKong,1
iPhoneXs,1
applefail,1
sadfaceemoji,1
wheresmyphone,1
XsFail,1
upsFail,1
iphonefail,1
noXsforme,1
yeezy,1
yeezysupply,1
neveragain,1
AppleFail,1
gettingmarried,1
youvegotmail,1
9to5,1
commutetime,1
socaltraffic,1
iphonepreorder,1
Disappointed,1
liarliarpantsonfire,1
UPSCustomerServiceCenter,1
fullofshit,1
responsibility,1
bs,1
unkeptpromises,1
hurtingthebrand,1
BestBuy,1
done,1
Impatientlywaitingdelivery,1
flawedtrackingsystem,1
sad,1
usps4life,1
customerservice,1
bikechi,1
Fremont,1
Seattle,1
CarActivist,1
whereismyiphone,1
PreOrder,1
reptourArlington,1
reputationStadiumTour,1
boycottUPS,1
NeverSettle,1
crackables,1
loveRussiaOrRussiaWillLoveYou,1
wheresmyiphone,1
CustomerExperience,1
UPSstory,1
UPStory,1
upstory,1
