,Unnamed: 0,user_id,user_name,location,created_at,description,followers_count,friends_count,listed_count,favourites_count,statuses_count,geo_enabled,time_zone,resp_time
0,0,1042143614997069824,KristyE15900845,,Tue Sep 18 20:09:34 +0000 2018,,0,0,0,1,15,False,,488.0
1,1,261442084,natalieraduazzo,,Sat Mar 05 23:51:55 +0000 2011,,7,94,0,67,105,False,,512.0
2,2,2430162042,CVeresan,,Sun Apr 06 09:02:11 +0000 2014,Teaching. Learning. Sciencing. 😎,396,1043,39,8463,2107,True,,NA
3,3,15754153,artbaretta,London,Wed Aug 06 19:46:01 +0000 2008,I write for @Xtra_Mile and myself. Maybe it's time I wrote that book I've told you about. // Editor of @theculturediary website for HMG. He/ him. Pic: @BenMorse,603,859,20,8591,15790,True,,336.0
4,4,951819043,MAB_Esq,,Fri Nov 16 14:44:05 +0000 2012,,2,86,0,8,13,False,,1949.0
5,5,34241095,BearTowell,Newcastle,Wed Apr 22 10:59:57 +0000 2009,"Mountain, road, fixed gear, singlespeed & cargo bikes. You get the idea. Apple, dance music, and cameras. Oh and I recently started my own engineering business.",515,186,21,4109,12212,False,,1895.5
6,6,20410953,ajaynes,Houston-Brooklyn-Philadelphia,Mon Feb 09 02:52:28 +0000 2009,Consumer Marketing Exec / Wife / Mom / Brown-eyed Twin / Arts Advocate /Dreams big. Works hard. Lives fully. Loves deeply. / Xoxo,602,600,20,659,1845,True,,913.0
7,7,1912588008,CharCharlie13,,Fri Sep 27 23:56:23 +0000 2013,,18,246,0,60,142,False,,NA
8,8,191510978,Bryjeco,,Thu Sep 16 16:49:12 +0000 2010,,389,1362,4,1058,6323,True,,2280.0
9,9,3127046645,sassy_art_is,,Sun Mar 29 18:01:39 +0000 2015,💞💞💞💞,85,503,0,71,218,False,,401.5
10,10,800430885044506624,saywitz,"Orlando, FL",Sun Nov 20 20:09:29 +0000 2016,,2,42,0,138,287,False,,NA
11,11,17245111,karanvasudeva,"Goa, India",Sat Nov 08 04:36:36 +0000 2008,"iOS, Mac and Web developer | Machine Learning enthusiast | Animal Supremacist | Hyper-enthusiastic about VR",326,228,27,989,1655,True,,1776.0
12,12,229445686,Joel_Duren,"Arlington, TX",Wed Dec 22 12:21:45 +0000 2010,🇸🇪 Stockholm 🇺🇸 Texas 📚University of Texas at Arlington,231,192,21,24669,17783,True,,4028.0
13,13,1006223033650970626,LoharPrakash3,"Pune, India",Mon Jun 11 17:14:00 +0000 2018,TCSer,3,99,0,10,10,False,,1664.0
14,14,255325854,hentailogic,Canada,Mon Feb 21 03:51:16 +0000 2011,Political correctness is the fascism of the 90s. -Roger Ebert https://t.co/3hZxFoV3b6,1263,1591,45,36649,42921,False,,NA
15,15,975584467,orirow,nyc,Wed Nov 28 07:26:52 +0000 2012,"oni | they/them | ᔦꙬᔨ✧‧˚ MAD#squad | mgs, ninty | art: @dogstamp | #2 commander miller apologist | certified @bongocat_ curator",310,267,4,53725,82191,False,,494.0
16,16,498368311,EmilyPrutzman,"Greenville, SC",Tue Feb 21 00:03:23 +0000 2012,Accountant by day. Kickballer by night.,157,222,1,1120,3044,True,,1446.0
17,17,180172782,meganskulski,,Thu Aug 19 00:29:12 +0000 2010,"if the wind will not serve, take to the oars. Twitch streamer/ Xbox GT: Okay Megan",641,258,4,4399,22069,True,,1899.0
18,18,157782683,pulse0000,Maine,Sun Jun 20 21:47:37 +0000 2010,,73,94,1,6899,657,False,,1808.0
19,19,952293073,FedExHelp,"Memphis, TN",Fri Nov 16 19:34:50 +0000 2012,Welcome to the official U.S. FedEx Customer Service page. Follow @FedEx for updates.,35998,159,137,1,295728,False,,NA
20,20,1487916690,FedExIndia,,Thu Jun 06 14:53:19 +0000 2013,Official updates and information related to FedEx Express in India. We’ll keep you up-to-date with the latest news and service update,3786,7,6,38,17845,False,,9456.666666666666
21,21,58595529,DanielJFalconer,"Manchester, UK",Mon Jul 20 21:25:10 +0000 2009,Entertainment Editor @ Female First. Also writes for Screen Rant / The Gamer / Contact Music / Reality Bite.,3762,2068,126,2175,112682,True,,501.0
22,22,806909522,alanseau,Tokyo,Thu Sep 06 14:12:49 +0000 2012,"Not with fleshly wisdom, but by the grace of God, we have had our conversation in the world.",41,228,1,1213,1411,True,,799.0
23,23,614756275,rsd317,,Fri Jun 22 01:50:03 +0000 2012,,30,76,3,18,250,True,,692.0
24,24,14397950,krisrice,"Bedford, NH",Tue Apr 15 16:05:38 +0000 2008,"I manage software used by millions: #sqldev, #Modeler, #orclords,play and coach hockey,firearms instructor, and show Great Danes. {""tweets"":""mine""}",3179,953,161,290,15314,True,,883.0
25,25,91705944,ricktrivette,,Sun Nov 22 02:37:52 +0000 2009,"life is short, live it well.",199,192,1,4492,2009,False,,12164.0
26,26,55141184,Fredulouss,"Queens, NY",Thu Jul 09 04:26:03 +0000 2009,#nycwriterz #brikbarlounge   i manage .....,354,148,4,2,13233,True,,624.5
27,27,154627380,Apuzzio,Greater Boston,Fri Jun 11 19:31:16 +0000 2010,Communications pro sweating it out trying to write a clever bio.,239,381,5,1335,510,False,,3584.0
28,28,2253783906,CleanDropMobile,USA,Thu Dec 19 16:52:07 +0000 2013,CleanDrop for #foodies demanding Cleanliness !  Keep your Restaurant Clean or get Closed ! Tweet us your Review  #foodsafety  Preventable #foodpoisoning,33645,34269,3087,345280,401758,True,,NA
29,29,241928441,Jake0458,"Toronto, Canada",Sun Jan 23 14:05:39 +0000 2011,instagram Jake0458,1646,1375,20,40645,5742,True,,4402.75
30,30,777562446261161984,DialCreates,@ch0bean,Sun Sep 18 17:38:28 +0000 2016,,1513,579,4,15951,5062,False,,NA
31,31,959043874273529856,girthlegboi,port wip,Thu Feb 01 12:40:52 +0000 2018,3d grunge designer @realepicraves,357,361,2,1474,3192,True,,NA
32,32,785256498481987584,niggiwwerdna,139th & Lenox,Sun Oct 09 23:11:53 +0000 2016,"I warn y’all cornballs, I hush puppies",55,400,1,9497,5328,False,,NA
33,33,252708604,Gul_Dukat88,"New York, USA",Tue Feb 15 19:04:31 +0000 2011,"Yeah, well sometimes nothin' can be a real cool hand.",174,197,13,1001,17100,True,,NA
34,34,92241661,srisaad,mumbai,Tue Nov 24 10:20:44 +0000 2009,"Writer ,Reader ,Music lover .Love to travel, Corporate GIFTS",268,972,16,3956,8678,True,,NA
35,35,184457743,OwleSchreame,"London, England",Sun Aug 29 16:19:15 +0000 2010,"Award-winning, record-breaking, historical-theatre-company currently performing at #edfringe w/ Midsummer Night’s DROLL - Artistic Director @BriceStratford",2279,1118,34,819,3793,True,,NA
36,36,363081516,RITESHBAJAJ6,,Sat Aug 27 14:06:44 +0000 2011,,29,765,1,1,24,False,,NA
37,37,538571079,TravelinMuse,UK,Tue Mar 27 21:12:11 +0000 2012,"Travel, Lifestyle Presenter and Writer - Be true, Authentic, Explore and Love 💗",142,203,5,408,1263,True,,3748.0
38,38,1105585033,JonnyLammers,Planet Earth,Sun Jan 20 06:58:35 +0000 2013,Student of Life ☺️,616,1481,14,11867,9068,False,,NA
39,39,2608189082,sgnvikrant,"New Delhi , India ",Sun Jul 06 19:39:15 +0000 2014,Nerd | Geek | AppleLover | Developer | BitCoin | Entrepreneur | Punjabi,57,151,5,12,225,False,,NA
40,40,59896304,WesleyMoore08,"Las Vegas, NV",Fri Jul 24 21:43:00 +0000 2009,https://t.co/zMGresW06g,15008,294,54,5815,11280,True,,12852.0
41,41,35923287,JoceyU,,Tue Apr 28 00:29:43 +0000 2009,,148,389,3,6570,10935,True,,10459.0
42,42,69849960,nishantkundan,"Bengaluru, India",Sat Aug 29 11:47:45 +0000 2009,"Tech Journalist @techinfoBiT @TechSutra_IN Blogger, tech-Reviewer, Tech Enthusiast, Engineer WebMaster, Web Developer, Love Photography.",9329,10240,10,240,1346,True,,1332.25
43,43,244055170,bigleechew,"Hawkinsville, GA",Fri Jan 28 12:09:30 +0000 2011,"The Greatest, most Awesome Loser you will ever meet.  Total Nerd and Avid Gamer.",23,71,0,473,2198,True,,6686.0
44,44,292490606,AdityaBhavnani,,Tue May 03 18:47:40 +0000 2011,,41,170,3,17,70,True,,12828.0
45,45,25014254,Frankiej714,"Tolleson, AZ ",Wed Mar 18 02:49:54 +0000 2009,"Huge fan, and would die for Jenni Rivera, Jessi Maldonado and Carrie Ann Inaba! Luv u girls! If you mess with my girls you mess with me! J14937",64,134,0,36,739,False,,NA
46,46,236294966,asjruk,"New York, USA",Mon Jan 10 07:41:34 +0000 2011,Sale Engineering & Strategic Partnerships @stellaservice | The Best in class voice of customer & performance optimization technology.,376,586,26,224,5526,True,,NA
47,47,285435231,ice_cold_killa8,New Jersey,Thu Apr 21 04:25:45 +0000 2011,Peacemaker...,169,141,4,735,31232,True,,NA
48,48,456633892,BairdCampbell,"Houston, TX",Fri Jan 06 13:38:13 +0000 2012,PhD student at @riceanthro and @CSWGSRice - Co-coordinator @ethnostudio - Latin Americanist - Trans/Queer activism in Chile,896,2023,24,1376,3867,True,,15522.5
49,49,2601676899,Le_Hyro,"San Jose, CA",Wed Jun 11 17:54:03 +0000 2014,"A lame, impatient, douchey noob with humor as dry as sand. Project Crystallis | UGPodcaster | MetaMistake IG: atispire | FB: SouloAscian",188,250,18,6550,11276,False,,18407.0
50,50,822880497495773184,bowenwang90,"Palo Alto, CA",Sat Jan 21 18:56:13 +0000 2017,,4,92,0,216,349,True,,176.0
51,51,839570952996413447,babyhotwing,"Toronto, Ontario",Wed Mar 08 20:18:08 +0000 2017,have my cake and throw it too ^ ͜• ^,103,103,0,3463,171,False,,NA
52,52,1152386330,jabenabena,,Tue Feb 05 23:52:37 +0000 2013,,64,150,1,269,326,False,,16304.0
53,53,113158097,LaraR0se,"Las Vegas, San Diego",Wed Feb 10 22:14:36 +0000 2010,"Traveler, poker wife, television enthusiast.",67,59,0,50,139,False,,1242.0
54,54,18261679,pikdig,"Washington, DC",Sat Dec 20 05:09:17 +0000 2008,Live and let be.,448,461,6,5674,39933,True,,16373.0
